实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
AI,GPE,130,,,"The field of artificial intelligence, or AI, is concerned with not just understanding but also building intelligent entities—machines that can compute how to act effectively and safely in a wide variety of novel situations."
Kai-Fu Lee,PERSON,2,,,AI expert Kai-Fu Lee predicts that its impact will be “more than anything in the history of mankind.
Galileo,PRODUCT,2,,,"Whereas a student of an older science such as physics might feel that the best ideas have already been discovered by Galileo, Newton, Curie, Einstein, and the rest, AI still has many openings for full-time masterminds."
Newton,GPE,9,,,"Whereas a student of an older science such as physics might feel that the best ideas have already been discovered by Galileo, Newton, Curie, Einstein, and the rest, AI still has many openings for full-time masterminds."
"Curie, Einstein",PERSON,1,,,"Whereas a student of an older science such as physics might feel that the best ideas have already been discovered by Galileo, Newton, Curie, Einstein, and the rest, AI still has many openings for full-time masterminds."
AI,ORG,38,,,"Whereas a student of an older science such as physics might feel that the best ideas have already been discovered by Galileo, Newton, Curie, Einstein, and the rest, AI still has many openings for full-time masterminds."
Turing,ORG,14,,,"1Acting humanly: The Turing test approach The Turing test, proposed by Alan Turing (1950), was designed as a thought experiment that would sidestep the philosophical vagueness of the question “Can a machine think?"
Alan Turing,PERSON,3,,,"1Acting humanly: The Turing test approach The Turing test, proposed by Alan Turing (1950), was designed as a thought experiment that would sidestep the philosophical vagueness of the question “Can a machine think?"
Aeronautical,ORG,1,,,Aeronautical engineering texts do not define the goal of their field as making “machines that fly so exactly like pigeons that they can fool even other pigeons.
Allen Newell,PERSON,4,,,"For example, Allen Newell and Herbert Simon, who developed GPS, the “General Problem Solver” (Newell and Simon, 1961), were not content merely to have their program solve problems correctly."
Herbert Simon,PERSON,7,,,"For example, Allen Newell and Herbert Simon, who developed GPS, the “General Problem Solver” (Newell and Simon, 1961), were not content merely to have their program solve problems correctly."
Newell,ORG,8,,,"For example, Allen Newell and Herbert Simon, who developed GPS, the “General Problem Solver” (Newell and Simon, 1961), were not content merely to have their program solve problems correctly."
Simon,PERSON,16,,,"For example, Allen Newell and Herbert Simon, who developed GPS, the “General Problem Solver” (Newell and Simon, 1961), were not content merely to have their program solve problems correctly."
Wilson,ORG,2,,,"Cognitive science is a fascinating field in itself, worthy of several textbooks and at least one encyclopedia (Wilson and Keil, 1999)."
Keil,GPE,1,,,"Cognitive science is a fascinating field in itself, worthy of several textbooks and at least one encyclopedia (Wilson and Keil, 1999)."
Aristotle,PERSON,2,,,"3Thinking rationally: The “laws of thought” approach The Greek philosopher Aristotle was one of the first to attempt to codify “right thinking”—that is, irrefutable reasoning processes."
Socrates,PRODUCT,2,,,The canonical example starts with Socrates is a man and all men are mortal and concludes that Socrates is mortal.
Sextus Empiricus,ORG,1,,,(This example is probably due to Sextus Empiricus rather than Aristotle. )
Aristotle,ORG,4,,,(This example is probably due to Sextus Empiricus rather than Aristotle. )
Ramon Llull,PERSON,1,,,Ramon Llull (c. 1232–1315) devised a system of reasoning published as Ars Magna or The Great Art (1305).
Ars Magna,PERSON,1,,,Ramon Llull (c. 1232–1315) devised a system of reasoning published as Ars Magna or The Great Art (1305).
The Great Art,EVENT,1,,,Ramon Llull (c. 1232–1315) devised a system of reasoning published as Ars Magna or The Great Art (1305).
Llull,PERSON,1,,,Llull tried to implement his system using an actual mechanical device: a set of paper wheels that could be rotated into different permutations.
Leonardo da Vinci,PERSON,1,,,"Around 1500, Leonardo da Vinci (1452–1519) designed but did not build a mechanical calculator; recent reconstructions have shown the design to be functional."
Wilhelm Schickard,PERSON,1,,,The first known calculating machine was constructed around 1623 by the German scientist Wilhelm Schickard (1592–1635).
Pascaline,ORG,1,,,Blaise Pascal (1623–1662) built the Pascaline in 1642 and wrote that it “produces effects which appear nearer to thought than all the actions of animals.
Gottfried Wilhelm Leibniz,PERSON,1,,,"” Gottfried Wilhelm Leibniz (1646–1716) built a mechanical device intended to carry out operations on concepts rather than numbers, but its scope was rather limited."
Leviathan,GPE,1,,,"In his 1651 book Leviathan, Thomas Hobbes (1588–1679) suggested the idea of a thinking machine, an “artificial animal” in his words, arguing “For what is the heart but a spring; and the nerves, but so many strings; and the joints, but so many wheels."
Thomas Hobbes,PERSON,1,,,"In his 1651 book Leviathan, Thomas Hobbes (1588–1679) suggested the idea of a thinking machine, an “artificial animal” in his words, arguing “For what is the heart but a spring; and the nerves, but so many strings; and the joints, but so many wheels."
Francis Bacon’s,PERSON,1,,,"The empiricism movement, starting with Francis Bacon’s (1561–1626) Novum Organum, 4 is characterized by a dictum of John Locke (1632–1704): “Nothing is in the understanding, which was not first in the senses."
Novum Organum,ORG,1,,,"The empiricism movement, starting with Francis Bacon’s (1561–1626) Novum Organum, 4 is characterized by a dictum of John Locke (1632–1704): “Nothing is in the understanding, which was not first in the senses."
John Locke,PERSON,1,,,"The empiricism movement, starting with Francis Bacon’s (1561–1626) Novum Organum, 4 is characterized by a dictum of John Locke (1632–1704): “Nothing is in the understanding, which was not first in the senses."
David Hume’s,PERSON,1,,,"” David Hume’s (1711–1776) A Treatise of Human Nature (Hume, 1739) proposed what is now known as the principle of induction: that general rules are acquired by exposure to repeated associations between their elements."
Ludwig Wittgenstein,ORG,1,,,"Building on the work of Ludwig Wittgenstein (1889–1951) and Bertrand Russell (1872–1970), the famous Vienna Circle (Sigmund, 2017), a group of philosophers and mathematicians meeting in Vienna in the 1920s and 1930s, developed the doctrine of logical positivism."
Bertrand Russell,PERSON,2,,,"Building on the work of Ludwig Wittgenstein (1889–1951) and Bertrand Russell (1872–1970), the famous Vienna Circle (Sigmund, 2017), a group of philosophers and mathematicians meeting in Vienna in the 1920s and 1930s, developed the doctrine of logical positivism."
Vienna Circle,ORG,1,,,"Building on the work of Ludwig Wittgenstein (1889–1951) and Bertrand Russell (1872–1970), the famous Vienna Circle (Sigmund, 2017), a group of philosophers and mathematicians meeting in Vienna in the 1920s and 1930s, developed the doctrine of logical positivism."
Vienna,GPE,1,,,"Building on the work of Ludwig Wittgenstein (1889–1951) and Bertrand Russell (1872–1970), the famous Vienna Circle (Sigmund, 2017), a group of philosophers and mathematicians meeting in Vienna in the 1920s and 1930s, developed the doctrine of logical positivism."
Rudolf Carnap,PERSON,1,,,The confirmation theory of Rudolf Carnap (1891–1970) and Carl Hempel (1905–1997) attempted to analyze the acquisition of knowledge from experience by quantifying the degree of belief that should be assigned to logical sentences based on their connection to observations that confirm or disconfirm them.
Carl Hempel,PERSON,1,,,The confirmation theory of Rudolf Carnap (1891–1970) and Carl Hempel (1905–1997) attempted to analyze the acquisition of knowledge from experience by quantifying the degree of belief that should be assigned to logical sentences based on their connection to observations that confirm or disconfirm them.
Carnap,ORG,1,,,Carnap’s book The Logical Structure of the World (1928) was perhaps the first theory of mind as a computational process.
The Logical Structure of the World,WORK_OF_ART,1,,,Carnap’s book The Logical Structure of the World (1928) was perhaps the first theory of mind as a computational process.
De Motu Animalium,ORG,1,,,"Aristotle argued (in De Motu Animalium) that actions are justified by a logical connection between goals and knowledge of the action’s outcome: But how does it happen that thinking is sometimes accompanied by action and sometimes not, sometimes by motion, and sometimes not?"
the Nicomachean Ethics,ORG,1,,,In the Nicomachean Ethics (Book III.
e. g.,PERSON,10,,,"And if we come on an impossibility, we give up the search, e. g. , if we need money and this cannot be got; but if a thing appears possible we try to do it."
Problem Solver,PERSON,1,,,Aristotle’s algorithm was implemented 2300 years later by Newell and Simon in their General Problem Solver program.
Antoine Arnauld,ORG,1,,,"Antoine Arnauld (1662), analyzing the notion of rational decisions in gambling, proposed a quantitative formula for maximizing the expected monetary value of the outcome."
Daniel Bernoulli,PERSON,2,,,"Later, Daniel Bernoulli (1738) introduced the more general notion of utility to capture the internal, subjective value of an outcome."
Jeremy Bentham,PERSON,1,,,"Jeremy Bentham (1823) and John Stuart Mill (1863) promoted the idea of utilitarianism: that rational decision making based on maximizing utility should apply to all spheres of human activity, including public policy decisions made on behalf of many individuals."
John Stuart Mill,PERSON,1,,,"Jeremy Bentham (1823) and John Stuart Mill (1863) promoted the idea of utilitarianism: that rational decision making based on maximizing utility should apply to all spheres of human activity, including public policy decisions made on behalf of many individuals."
Immanuel Kant,PERSON,1,,,"In contrast, Immanuel Kant, in 1785, proposed a theory of rule-based or deontological ethics, in which “doing the right thing” is determined not by outcomes but by universal social laws that govern allowable actions, such as “don’t lie” or “don’t kill."
n’t,GPE,2,,,"In contrast, Immanuel Kant, in 1785, proposed a theory of rule-based or deontological ethics, in which “doing the right thing” is determined not by outcomes but by universal social laws that govern allowable actions, such as “don’t lie” or “don’t kill."
Mill,PERSON,1,,,"Mill acknowledged the value of rules, but understood them as efficient decision procedures compiled from first-principles reasoning about consequences."
Greece,GPE,1,,,"The idea of formal logic can be traced back to the philosophers of ancient Greece, India, and China, but its mathematical development really began with the work of George Boole (1815–1864), who worked out the details of propositional, or Boolean, logic (Boole, 1847)."
India,GPE,2,,,"The idea of formal logic can be traced back to the philosophers of ancient Greece, India, and China, but its mathematical development really began with the work of George Boole (1815–1864), who worked out the details of propositional, or Boolean, logic (Boole, 1847)."
China,GPE,2,,,"The idea of formal logic can be traced back to the philosophers of ancient Greece, India, and China, but its mathematical development really began with the work of George Boole (1815–1864), who worked out the details of propositional, or Boolean, logic (Boole, 1847)."
George Boole,PERSON,1,,,"The idea of formal logic can be traced back to the philosophers of ancient Greece, India, and China, but its mathematical development really began with the work of George Boole (1815–1864), who worked out the details of propositional, or Boolean, logic (Boole, 1847)."
Boole,GPE,1,,,"The idea of formal logic can be traced back to the philosophers of ancient Greece, India, and China, but its mathematical development really began with the work of George Boole (1815–1864), who worked out the details of propositional, or Boolean, logic (Boole, 1847)."
Gottlob Frege,PERSON,1,,,"In 1879, Gottlob Frege (1848–1925) extended Boole’s logic to include objects and relations, creating the first-order logic that is used today."
Boole,ORG,1,,,"In 1879, Gottlob Frege (1848–1925) extended Boole’s logic to include objects and relations, creating the first-order logic that is used today."
Gödel,ORG,1,,,"5 In addition to its central role in the early period of AI research, first-order logic motivated the work of Gödel and Turing that underpinned computation itself, as we explain below."
Gerolamo Cardano,PERSON,1,,,"Gerolamo Cardano (1501–1576) first framed the idea of probability, describing it in terms of the possible outcomes of gambling events."
Pierre Fermat,PERSON,1,,,"In 1654, Blaise Pascal (1623–1662), in a letter to Pierre Fermat (1601–1665), showed how to predict the future of an unfinished gambling game and assign average payoffs to the gamblers."
Jacob Bernoulli,PERSON,1,,,"Jacob Bernoulli (1654–1705, uncle of Daniel), Pierre Laplace (1749–1827), and others advanced the theory and introduced new statistical methods."
Daniel,PERSON,1,,,"Jacob Bernoulli (1654–1705, uncle of Daniel), Pierre Laplace (1749–1827), and others advanced the theory and introduced new statistical methods."
