实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
AI,GPE,129,,,"itself. The field of
artificial intelligence
, or AI, is concerned with not just understanding but als"
Kai-Fu Lee,PERSON,2,,,r a trillion dollars a year in revenue. AI expert Kai-Fu Lee predicts that its impact will be “more than anyth
Galileo,PRODUCT,2,,,"at the best ideas have already been discovered by Galileo, Newton, Curie, Einstein, and the rest, AI still "
Newton,GPE,9,,,"st ideas have already been discovered by Galileo, Newton, Curie, Einstein, and the rest, AI still has many"
"Curie, Einstein",PERSON,1,,," have already been discovered by Galileo, Newton, Curie, Einstein, and the rest, AI still has many openings for ful"
AI,ORG,40,,,"y Galileo, Newton, Curie, Einstein, and the rest, AI still has many openings for full-time masterminds"
Alan Turing,PERSON,3,,,"uring test approach
The
Turing test
, proposed by Alan Turing (1950), was designed as a thought experiment that"
Turing,ORG,12,,,"s and people in the real world. To pass the total Turing test, a robot will need
•
computer vision
and spe"
Aeronautical,ORG,1,,,ing wind tunnels and learning about aerodynamics. Aeronautical engineering texts do not define the goal of their
Allen Newell,PERSON,4,,,"For example, Allen Newell and Herbert Simon, who developed GPS, the “Genera"
Herbert Simon,PERSON,7,,,"For example, Allen Newell and Herbert Simon, who developed GPS, the “General Problem Solver” "
Newell,ORG,9,,," who developed GPS, the “General Problem Solver” (Newell and Simon, 1961), were not content merely to have"
Simon,PERSON,16,,,"ped GPS, the “General Problem Solver” (Newell and Simon, 1961), were not content merely to have their pro"
Wilson,ORG,2,,," several textbooks and at least one encyclopedia (Wilson and Keil, 1999). We will occasionally comment on "
Keil,GPE,1,,,"xtbooks and at least one encyclopedia (Wilson and Keil, 1999). We will occasionally comment on similarit"
Aristotle,PERSON,2,,," “laws of thought” approach
The Greek philosopher Aristotle was one of the first to attempt to codify “right "
Socrates,PRODUCT,2,,,"rrect premises. The canonical example starts with
Socrates is a man
and
all men are mortal
and concludes tha"
Sextus Empiricus,ORG,1,,,(This example is probably due to Sextus Empiricus rather than Aristotle.) These laws of thought wer
Aristotle,ORG,6,,,e is probably due to Sextus Empiricus rather than Aristotle.) These laws of thought were supposed to govern t
Foundations of Artificial Intelligence,ORG,1,,,"1.2The Foundations of Artificial Intelligence
1.2
The Foundations of Artificial Intelligence
In"
The Foundations of Artificial Intelligence,ORG,1,,,"1.2The Foundations of Artificial Intelligence
1.2
The Foundations of Artificial Intelligence
In this section, we provide a brief history of th"
Ramon Llull,PERSON,1,,,Ramon Llull (c. 1232–1315) devised a system of reasoning publ
The Great Art,WORK_OF_ART,1,,,"d a system of reasoning published as
Ars Magna
or
The Great Art
(1305). Llull tried to implement his system using"
Llull,PERSON,1,,,"g published as
Ars Magna
or
The Great Art
(1305). Llull tried to implement his system using an actual mec"
Leonardo da Vinci,PERSON,1,,,"Around 1500, Leonardo da Vinci (1452–1519) designed but did not build a mechanic"
Wilhelm Schickard,PERSON,1,,,s constructed around 1623 by the German scientist Wilhelm Schickard (1592–1635). Blaise Pascal (1623–1662) built the 
Pascaline,ORG,1,,, (1592–1635). Blaise Pascal (1623–1662) built the Pascaline in 1642 and wrote that it “produces effects which
Gottfried Wilhelm Leibniz,PERSON,1,,,arer to thought than all the actions of animals.” Gottfried Wilhelm Leibniz (1646–1716) built a mechanical device intended to
Leviathan,GPE,1,,,"ut its scope was rather limited. In his 1651 book
Leviathan,
Thomas Hobbes (1588–1679) suggested the idea of "
Thomas Hobbes,PERSON,1,,,"e was rather limited. In his 1651 book
Leviathan,
Thomas Hobbes (1588–1679) suggested the idea of a thinking mach"
Francis Bacon’s,PERSON,1,,,"knowledge. The
empiricism
movement, starting with Francis Bacon’s (1561–1626)
Novum Organum
,
4
is characterized by"
Novum Organum,PERSON,1,,,"vement, starting with Francis Bacon’s (1561–1626)
Novum Organum
,
4
is characterized by a dictum of John Locke (1"
