术语,出现次数,领域分类,建议译法（人工填写）,校验结果（通过/修改）
perceptron,1397,AI专业术语,,
backpropagation,1395,AI专业术语,,
reinforcement learning,1394,AI专业术语,,
attention mechanism,1394,AI专业术语,,
rational agent,1394,AI专业术语,,
convolutional neural network,1394,AI专业术语,,
neural network,1394,AI专业术语,,
markov decision process,1394,AI专业术语,,
machine learning,1394,AI专业术语,,
bayesian network,1394,AI专业术语,,
state,934,通用术语,,
node,656,通用术语,,
agent,609,通用术语,,
search,596,通用术语,,
problem,498,通用术语,,
action,377,通用术语,,
path,356,通用术语,,
labeled,333,通用术语,,
algorithm,312,通用术语,,
figure,270,通用术语,,
point,269,通用术语,,
solution,265,通用术语,,
environment,247,通用术语,,
constraint,240,通用术语,,
variable,228,通用术语,,
example,225,通用术语,,
block,221,通用术语,,
goal,220,通用术语,,
cost,211,通用术语,,
value,206,通用术语,,
world,204,通用术语,,
arrow,194,通用术语,,
tree,192,通用术语,,
column,186,通用术语,,
heuristic,177,通用术语,,
time,176,通用术语,,
space,168,通用术语,,
belief,153,通用术语,,
row,151,通用术语,,
set,148,通用术语,,
function,147,通用术语,,
square,143,通用术语,,
learning,141,通用术语,,
chapter,135,通用术语,,
number,135,通用术语,,
line,130,通用术语,,
program,127,通用术语,,
work,127,通用术语,,
first,124,通用术语,,
second,123,通用术语,,
machine,119,通用术语,,
vacuum,119,通用术语,,
part,118,通用术语,,
human,116,通用术语,,
possible,116,通用术语,,
system,116,通用术语,,
many,113,通用术语,,
way,111,通用术语,,
graph,110,通用术语,,
new,103,通用术语,,
find,103,通用术语,,
see,102,通用术语,,
child,101,通用术语,,
current,99,通用术语,,
performance,98,通用术语,,
called,98,通用术语,,
cell,98,通用术语,,
shown,97,通用术语,,
domain,97,通用术语,,
need,95,通用术语,,
description,94,通用术语,,
optimal,93,通用术语,,
level,93,通用术语,,
method,91,通用术语,,
percept,89,通用术语,,
different,88,通用术语,,
use,88,通用术语,,
computer,86,通用术语,,
move,86,通用术语,,
right,85,通用术语,,
left,85,通用术语,,
local,85,通用术语,,
general,84,通用术语,,
given,84,通用术语,,
binary,84,通用术语,,
task,83,通用术语,,
make,83,通用术语,,
case,83,通用术语,,
consider,81,通用术语,,
theory,81,通用术语,,
model,81,通用术语,,
red,81,通用术语,,
used,80,通用术语,,
sequence,80,通用术语,,
initial,78,通用术语,,
show,78,通用术语,,
idea,73,通用术语,,
result,73,通用术语,,
memory,73,通用术语,,
section,70,通用术语,,
box,70,通用术语,,
know,69,通用术语,,
using,69,通用术语,,
take,69,通用术语,,
csp,69,通用术语,,
step,67,通用术语,,
third,67,通用术语,,
assignment,67,通用术语,,
approach,65,通用术语,,
green-colored,65,通用术语,,
simple,64,通用术语,,
solid,63,通用术语,,
green,62,通用术语,,
sibiu,62,通用术语,,
decision,60,通用术语,,
knowledge,59,通用术语,,
start,59,通用术语,,
good,58,通用术语,,
say,58,通用术语,,
rational,56,通用术语,,
representation,56,通用术语,,
next,56,通用术语,,
best,55,通用术语,,
complete,55,通用术语,,
form,55,通用术语,,
al.,55,通用术语,,
lavender-colored,55,通用术语,,
technique,54,通用术语,,
rule,54,通用术语,,
information,54,通用术语,,
get,54,通用术语,,
expanded,54,通用术语,,
reached,54,通用术语,,
observable,54,通用术语,,
arad,54,通用术语,,
frontier,53,通用术语,,
reach,53,通用术语,,
design,53,通用术语,,
dashed,53,通用术语,,
language,52,通用术语,,
location,52,通用术语,,
sensor,52,通用术语,,
bucharest,52,通用术语,,
data,51,通用术语,,
keep,50,通用术语,,
field,49,通用术语,,
process,49,通用术语,,
control,49,通用术语,,
robot,49,通用术语,,
developed,49,通用术语,,
intelligence,48,通用术语,,
structure,48,通用术语,,
objective,48,通用术语,,
efficient,48,通用术语,,
