Paragraph ID,Sentence Index,English Sentence,Chinese Sentence
chap1_para1,1,"In which we try to explain why we consider artificial intelligence to be a subject most worthy of study, and in which we try to decide what exactly it is, this being a good thing to decide before embarking.",在本章中，我们将解释为什么我们认为人工智能是一个最值得研究的课题，并试图定义人工智能究竟是什么。
chap1_para1,2,,这是开启人工智能学习之旅之前不错的准备。
chap1_para10,1,•natural language processing to communicate successfully in a human language;,
chap1_para100,1,"The development of brain-machine interfaces (Lebedev and Nicolelis, 2006) for both sensing and motor control not only promises to restore function to disabled individuals, but also sheds light on many aspects of neural systems.",
chap1_para100,2,"A remarkable finding from this work is that the brain is able to adjust itself to interface successfully with an external device, treating it in effect like another sensory organ or limb.",
chap1_para1000,1,,"● 预测（prediction）阶段与无传感器问题相同，计算由动作所导致的信念状态，Result(b, a)。"
chap1_para1000,2,,"为了强调这是一个预测，我们将其记为bˆ = Result(b, a)，其中b上方的“hat”表示“估计值”，我们还可以使用Predict(b, a)代替Result(b, a)。"
chap1_para1001,1,,● 可能感知（possible percept）阶段计算在预测的信念状态下可以观测到的感知集合（用字母o表示观测到的感知）：
chap1_para1002,1,,● 更新（update）阶段为每个可能感知计算其可能得到的信念状态。
chap1_para1002,2,,更新后的信念状态bo是bˆ中可能产生这一感知的状态集合：
chap1_para1003,1,,● 智能体需要在规划阶段处理可能的感知，因为在执行规划之前它不知道实际的感知。
chap1_para1003,2,,注意，在预测阶段，物理环境中的非确定性会扩大信念状态，但每个更新后的信念状态bo不会大于预测的信念状态bˆ；观测到的感知只能帮助减少不确定性。
chap1_para1003,3,,此外，对于确定性感知，不同感知的信念状态是不相交的，从而形成原始预测信念状态的一个划分。
chap1_para1004,1,,图4-15　局部感知真空吸尘器世界中的两个转移实例。
chap1_para1004,2,,"（a）确定性世界中，在初始信念状态下执行Right动作，所得到的新的预测信念状态有两个可能的物理状态；对于这些状态，可能的感知是[R, Dirty]和[R, Clean]，从而得到两种信念状态，每种都只包含一个物理状态。"
chap1_para1004,3,,"（b）光滑世界中，在初始信念状态下执行Right动作，所得到的新的信念状态具有4个物理状态；对于这些状态，可能的感知是[L, Dirty]、[R, Dirty]和[R, Clean]，从而得到图中所示的3种信念状态"
chap1_para1005,1,,综合这3个阶段，我们可以得到由给定动作及后续的可能感知所产生的可能信念状态：
chap1_para1007,1,,4.4.3　求解部分可观测问题
chap1_para1008,1,,4.4.2节介绍了在给定Percept函数的情况下，如何从底层物理问题推导出非确定性信念状态问题的Results函数。
chap1_para1008,2,,使用这一形式化，可以直接应用图4-11的与或搜索算法得到问题的解。
chap1_para1008,3,,"图4-16为局部感知真空吸尘器世界的部分搜索树，假定初始感知为[L, Dirty]。"
chap1_para1008,4,,它的解是一个条件规划：
chap1_para1009,1,,注意，因为我们是在信念状态问题中应用与或搜索算法，所以它返回的条件规划所测试的是信念状态，而非实际状态。
chap1_para1009,2,,这是应该的：在部分可观测环境中，智能体并不知道实际状态。
chap1_para101,1,Brains and digital computers have somewhat different properties.,● 我们应该如何根据自己的偏好做出决定？
chap1_para101,2,Figure 1.,
chap1_para101,3,2 shows that computers have a cycle time that is a million times faster than a brain.,
chap1_para101,4,"The brain makes up for that with far more storage and interconnection than even a high-end personal computer, although the largest supercomputers match the brain on some metrics.",
chap1_para101,5,"Futurists make much of these numbers, pointing to an approaching singularity at which computers reach a superhuman level of performance (Vinge, 1993; Kurzweil, 2005; Doctorow and Stross, 2012), and then rapidly improve themselves even further.",
chap1_para101,6,But the comparisons of raw numbers are not especially informative.,
chap1_para101,7,"Even with a computer of virtually unlimited capacity, we still require further conceptual breakthroughs in our understanding of intelligence (see Chapter 29).",
chap1_para101,8,"Crudely put, without the right theory, faster machines just give you the wrong answer faster.",
